loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,term_months,emp_length_years,log_annual_inc,log_loan_amnt,loan_to_income_ratio,installment_to_monthly_income,annual_income_to_installment,fico_avg,credit_history_years,inquiries_per_open_account,delinq_per_open_account,pub_rec_per_open_account,has_bankruptcy,is_mortgage
1500.0,1500.0,1500.0, 36 months,12.88,50.086,C,C2,,RENT,30000.0,Source Verified,Dec-2015,other,AZ,16.36,0.0,660.0,664.0,0.0,36.0,104.0,6.0,1.0,2917.0,76.8,14.0,w,679.0,675.0,0.0,36.0,0.0,0.0,8403.0,0.0,2.0,2.0,2.0,7.0,5486.0,77.0,1.0,2.0,1219.0,77.0,3800.0,0.0,8.0,4.0,4.0,1401.0,824.0,62.5,0.0,0.0,140.0,75.0,8.0,7.0,0.0,8.0,36.0,5.0,36.0,1.0,2.0,3.0,3.0,3.0,9.0,4.0,5.0,3.0,6.0,0.0,0.0,0.0,3.0,78.6,33.3,1.0,0.0,10964.0,8403.0,2200.0,7164.0,Cash,36,,10.308985993422082,7.313886831633462,0.03999866671110963,0.01614154338264694,725.1631617113851,662.0,11.665982203969884,0.0,0.0,0.14285714285714285,1,0
16000.0,16000.0,16000.0, 60 months,12.88,363.07,C,C2,2 years,MORTGAGE,160000.0,Source Verified,Dec-2015,debt_consolidation,PA,31.57,0.0,685.0,689.0,1.0,,,19.0,0.0,26978.0,69.4,57.0,w,629.0,625.0,0.0,,0.0,0.0,395488.0,1.0,9.0,2.0,4.0,6.0,85191.0,41.0,2.0,4.0,13203.0,50.0,38900.0,0.0,0.0,4.0,10.0,20815.0,5251.0,74.6,0.0,0.0,143.0,222.0,9.0,6.0,6.0,18.0,,6.0,,0.0,2.0,6.0,3.0,11.0,20.0,7.0,29.0,6.0,19.0,0.0,0.0,0.0,5.0,100.0,66.7,0.0,0.0,482295.0,124405.0,20700.0,150244.0,Cash,60,2.0,11.982935344196433,9.680406499268875,0.09999937500390622,0.02722820788440867,439.47592495948584,687.0,18.49965776865161,0.05,0.0,0.0,0,1
18000.0,18000.0,17750.0, 36 months,8.38,567.22,B,B1,10+ years,RENT,95000.0,Not Verified,Dec-2015,credit_card,CA,20.5,0.0,670.0,674.0,0.0,,,25.0,0.0,29252.0,42.7,40.0,w,729.0,725.0,0.0,,0.0,114.0,45378.0,3.0,2.0,0.0,0.0,37.0,16126.0,36.0,3.0,4.0,7050.0,40.0,68500.0,0.0,1.0,0.0,4.0,1815.0,9245.0,69.6,0.0,0.0,178.0,295.0,2.0,2.0,0.0,4.0,,15.0,,0.0,6.0,12.0,8.0,11.0,8.0,23.0,32.0,13.0,25.0,0.0,0.0,0.0,3.0,100.0,75.0,0.0,0.0,112954.0,45378.0,30400.0,44454.0,Cash,36,10.0,11.461642696843066,9.798182590890704,0.1894716897716866,0.07163979286826927,167.1887649149977,672.0,24.58590006844627,0.0,0.0,0.0,0,0
8000.0,8000.0,8000.0, 36 months,6.49,245.16,A,A2,,RENT,50000.0,Verified,Dec-2015,other,KS,22.83,0.0,740.0,744.0,0.0,25.0,,17.0,0.0,18632.0,26.4,44.0,w,629.0,625.0,0.0,,0.0,0.0,21402.0,0.0,1.0,1.0,1.0,8.0,2770.0,19.0,1.0,3.0,9424.0,25.0,70700.0,0.0,0.0,0.0,4.0,1338.0,30840.0,37.4,0.0,0.0,99.0,469.8000000000002,8.0,8.0,6.0,14.0,,14.0,25.0,0.0,5.0,8.0,7.0,22.0,4.0,16.0,34.0,8.0,17.0,0.0,0.0,0.0,2.0,97.7,28.6,0.0,0.0,85700.0,21402.0,49300.0,15000.0,Cash,36,,10.819798284210286,8.987321812850123,0.15999680006399872,0.05882428217227865,203.11992200194996,742.0,39.9830253251198,0.0,0.0,0.0,0,0
24150.0,24150.0,24150.0, 60 months,21.48,659.88,E,E5,6 years,RENT,57500.0,Verified,Dec-2015,debt_consolidation,TX,22.6,0.0,675.0,679.0,0.0,,75.0,9.0,1.0,5202.0,70.3,37.0,w,579.0,575.0,0.0,,0.0,0.0,33599.0,1.0,3.0,2.0,5.0,6.0,28397.0,78.0,1.0,3.0,1913.0,77.0,7400.0,0.0,0.0,0.0,8.0,3733.0,1364.0,69.0,0.0,0.0,132.0,336.0,12.0,6.0,1.0,40.0,,18.0,,0.0,2.0,5.0,3.0,8.0,17.0,6.0,19.0,5.0,9.0,0.0,0.0,0.0,3.0,100.0,66.7,1.0,0.0,43842.0,33599.0,4400.0,36442.0,Cash,60,6.0,10.959557617938563,10.09208106609093,0.41999269577920384,0.13768535262206147,87.00520518097083,677.0,28.0,0.0,0.0,0.1,1,0
18000.0,18000.0,18000.0, 60 months,11.99,400.31,C,C1,8 years,RENT,95000.0,Not Verified,Dec-2015,debt_consolidation,FL,8.98,0.0,710.0,714.0,0.0,70.0,70.0,6.0,1.0,5983.0,37.6,15.0,w,579.0,575.0,0.0,,0.0,0.0,21142.0,1.0,1.0,1.0,1.0,4.0,15159.0,86.0,0.0,0.0,3179.0,63.0,15900.0,0.0,0.0,1.0,1.0,3524.0,9917.0,37.6,0.0,0.0,127.0,60.0,49.0,4.0,1.0,49.0,,4.0,,0.0,5.0,5.0,5.0,6.0,8.0,5.0,6.0,5.0,6.0,0.0,0.0,0.0,1.0,93.3,40.0,1.0,0.0,33504.0,21142.0,15900.0,17604.0,Cash,60,8.0,11.461642696843066,9.798182590890704,0.1894716897716866,0.050559087273186545,236.72472652064488,712.0,10.751540041067761,0.0,0.0,0.14285714285714285,1,0
5950.0,5950.0,5950.0, 36 months,9.17,189.68,B,B2,3 years,RENT,30000.0,Source Verified,Dec-2015,credit_card,UT,18.64,0.0,690.0,694.0,0.0,,116.0,5.0,1.0,5958.0,41.4,9.0,w,754.0,750.0,0.0,,0.0,0.0,22219.0,0.0,1.0,1.0,1.0,12.0,16261.0,87.0,0.0,0.0,2933.0,67.0,14400.0,0.0,4.0,0.0,1.0,5555.0,8442.0,41.4,0.0,0.0,148.0,331.0,82.0,12.0,0.0,82.0,,,,0.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,100.0,33.3,1.0,0.0,33199.0,22219.0,14400.0,18799.0,Cash,36,3.0,10.308985993422082,8.691314551644851,0.19832672244258526,0.07584166333466613,157.33165512901195,692.0,27.583846680355922,0.0,0.0,0.16666666666666666,1,0
16000.0,16000.0,16000.0, 36 months,7.91,500.72,A,A5,< 1 year,MORTGAGE,50000.0,Not Verified,Dec-2015,debt_consolidation,KY,24.41,0.0,715.0,719.0,0.0,,,9.0,0.0,12638.0,64.8,22.0,w,739.0,735.0,0.0,,0.0,0.0,106144.0,0.0,2.0,0.0,1.0,18.0,35938.0,69.0,0.0,1.0,4366.0,68.0,19500.0,0.0,1.0,0.0,2.0,13268.0,4660.0,71.8,0.0,0.0,136.0,112.0,18.0,18.0,2.0,42.0,,18.0,,0.0,4.0,5.0,5.0,5.0,14.0,6.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,134618.0,48576.0,16500.0,52278.0,Cash,36,0.0,10.819798284210286,9.680406499268875,0.31999360012799744,0.12014396544829241,99.657179303197,717.0,11.331964407939767,0.0,0.0,0.0,0,1
2000.0,2000.0,2000.0, 36 months,10.78,65.27,B,B4,5 years,RENT,25000.0,Source Verified,Dec-2015,other,WA,26.69,0.0,665.0,669.0,0.0,,,8.0,0.0,12190.0,73.9,8.0,w,749.0,745.0,0.0,,0.0,0.0,13404.0,0.0,1.0,0.0,0.0,31.0,1214.0,24.0,0.0,1.0,5686.0,62.0,16500.0,0.0,0.0,0.0,1.0,1676.0,2066.0,84.1,0.0,0.0,31.0,84.0,23.0,23.0,0.0,32.0,,,,0.0,5.0,7.0,5.0,5.0,1.0,7.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,21500.0,13404.0,13000.0,5000.0,Cash,36,5.0,10.12667110305036,7.601402334583733,0.07999680012799489,0.031314569006876694,377.2446054021428,667.0,6.997946611909651,0.0,0.0,0.0,0,0
7200.0,7200.0,7200.0, 36 months,15.77,252.32,D,D1,4 years,MORTGAGE,54000.0,Verified,Dec-2015,debt_consolidation,NC,33.56,0.0,660.0,664.0,1.0,,,25.0,0.0,27771.0,44.0,39.0,w,619.0,615.0,0.0,52.0,0.0,397.0,149530.0,4.0,1.0,0.0,1.0,14.0,4688.0,67.0,7.0,10.0,9640.0,44.0,63621.0,0.0,1.0,5.0,12.0,6796.0,2750.0,74.0,0.0,0.0,105.0,121.0,0.0,0.0,2.0,0.0,,5.0,,0.0,9.0,17.0,11.0,13.0,5.0,20.0,32.0,17.0,22.0,,0.0,0.0,8.0,95.0,55.6,0.0,0.0,188539.0,32459.0,24750.0,7015.0,Cash,36,4.0,10.896757843893464,8.881975184248866,0.13333086424325474,0.0560586536325261,213.16911416390337,662.0,10.080766598220396,0.038461538461538464,0.0,0.0,0,1
25000.0,25000.0,25000.0, 36 months,7.91,782.38,A,A5,10+ years,MORTGAGE,151000.0,Not Verified,Dec-2015,debt_consolidation,LA,12.49,0.0,715.0,719.0,0.0,25.0,,7.0,0.0,19513.0,71.2,18.0,f,744.0,740.0,0.0,,0.0,0.0,210143.0,0.0,0.0,0.0,0.0,84.0,0.0,,1.0,2.0,12027.0,71.0,27400.0,0.0,0.0,1.0,2.0,30020.0,873.0,93.2,0.0,0.0,134.0,256.0,9.0,9.0,1.0,83.0,,9.0,,0.0,1.0,5.0,1.0,3.0,4.0,5.0,12.0,5.0,7.0,0.0,0.0,0.0,1.0,94.4,100.0,0.0,0.0,271082.0,55499.0,12900.0,0.0,Cash,36,10.0,11.92504173829169,10.12667110305036,0.16556181747140747,0.06217095330172436,192.75447420153694,717.0,22.913073237508556,0.0,0.0,0.0,0,1
16800.0,16800.0,16800.0, 36 months,9.76,540.2,B,B3,2 years,RENT,93851.0,Source Verified,Dec-2015,debt_consolidation,VA,4.42,0.0,760.0,764.0,0.0,,,3.0,0.0,2423.0,9.9,6.0,w,764.0,760.0,0.0,,0.0,0.0,3635.0,0.0,0.0,1.0,2.0,11.0,0.0,,0.0,1.0,1505.0,11.0,24500.0,0.0,0.0,0.0,3.0,1212.0,22077.0,9.9,0.0,0.0,14.0,88.0,20.0,11.0,0.0,20.0,,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,24500.0,2750.8,24500.0,0.0,Cash,36,2.0,11.449474352389611,9.729193687429403,0.17900524229638154,0.06906235683922313,173.41278640059127,762.0,7.3319644079397674,0.0,0.0,0.0,0,0
